campaignId,campaignTitle,cityId,slot,filePath,status,prompt
nexis-registry-door,The Registry Door That Was Never Filed,nexis,thumb,public/one-shot-images/nexis-registry-door/nexis-registry-door-thumb.png,pending,"Painted dark-fantasy illustration in a restrained gold-and-sage palette over deep charcoal shadow, moody directional lighting, textured brushwork, cinematic widescreen composition, no text, no watermark, no UI elements, no borders. Cover illustration for the DMOS one-shot contract ""The Registry Door That Was Never Filed"". Setting: Nexis City, in the world of Nexis. A single striking image of the mystery's central object, document, or scene, establishing intrigue at a glance."
nexis-registry-door,The Registry Door That Was Never Filed,nexis,opening,public/one-shot-images/nexis-registry-door/nexis-registry-door-opening.png,pending,"Painted dark-fantasy illustration in a restrained gold-and-sage palette over deep charcoal shadow, moody directional lighting, textured brushwork, cinematic widescreen composition, no text, no watermark, no UI elements, no borders. Opening scene of ""The Registry Door That Was Never Filed"". Setting: Nexis City, in the world of Nexis. Scene: A clerk with ink on both sleeves leads you beneath the Registry Hall. A bronze door waits where a blank wall stood yesterday, its lock stamped with a seal no current office claims."
nexis-registry-door,The Registry Door That Was Never Filed,nexis,decision,public/one-shot-images/nexis-registry-door/nexis-registry-door-decision.png,pending,"Painted dark-fantasy illustration in a restrained gold-and-sage palette over deep charcoal shadow, moody directional lighting, textured brushwork, cinematic widescreen composition, no text, no watermark, no UI elements, no borders. Decision scene of ""The Registry Door That Was Never Filed"" - the moment the crew commits to a plan of action. Setting: Nexis City, in the world of Nexis. Scene: Beyond the door, ledger shelves glow with cold blue ward-light. Three ledgers sit open: one records names, one records debts, and one records future arrests."
nexis-registry-door,The Registry Door That Was Never Filed,nexis,outcome-1,public/one-shot-images/nexis-registry-door/nexis-registry-door-outcome-1.png,pending,"Painted dark-fantasy illustration in a restrained gold-and-sage palette over deep charcoal shadow, moody directional lighting, textured brushwork, cinematic widescreen composition, no text, no watermark, no UI elements, no borders. Outcome illustration 1 of ""The Registry Door That Was Never Filed"", depicting how the crew's choice resolves. Setting: Nexis City, in the world of Nexis. Outcome: You exposed a dead civic office being used to file living permits and secured the names ledger before the ring could scatter."
nexis-registry-door,The Registry Door That Was Never Filed,nexis,outcome-2,public/one-shot-images/nexis-registry-door/nexis-registry-door-outcome-2.png,pending,"Painted dark-fantasy illustration in a restrained gold-and-sage palette over deep charcoal shadow, moody directional lighting, textured brushwork, cinematic widescreen composition, no text, no watermark, no UI elements, no borders. Outcome illustration 2 of ""The Registry Door That Was Never Filed"", depicting how the crew's choice resolves. Setting: Nexis City, in the world of Nexis. Outcome: You destroyed an unlawful arrest ledger and forced the Registry to admit that someone was writing crimes before they happened."
blackharbor-salt-writ,The Salt Writ Below Pier Nine,west,thumb,public/one-shot-images/blackharbor-salt-writ/blackharbor-salt-writ-thumb.png,pending,"Painted dark-fantasy illustration in a restrained gold-and-sage palette over deep charcoal shadow, moody directional lighting, textured brushwork, cinematic widescreen composition, no text, no watermark, no UI elements, no borders. Cover illustration for the DMOS one-shot contract ""The Salt Writ Below Pier Nine"". Setting: Blackharbor, in the world of Nexis. A single striking image of the mystery's central object, document, or scene, establishing intrigue at a glance."
blackharbor-salt-writ,The Salt Writ Below Pier Nine,west,opening,public/one-shot-images/blackharbor-salt-writ/blackharbor-salt-writ-opening.png,pending,"Painted dark-fantasy illustration in a restrained gold-and-sage palette over deep charcoal shadow, moody directional lighting, textured brushwork, cinematic widescreen composition, no text, no watermark, no UI elements, no borders. Opening scene of ""The Salt Writ Below Pier Nine"". Setting: Blackharbor, in the world of Nexis. Scene: Blackharbor lowers its voice at low tide. A tarred courier box is wedged beneath Pier Nine, marked by a salt writ and guarded by people pretending not to watch it."
blackharbor-salt-writ,The Salt Writ Below Pier Nine,west,decision,public/one-shot-images/blackharbor-salt-writ/blackharbor-salt-writ-decision.png,pending,"Painted dark-fantasy illustration in a restrained gold-and-sage palette over deep charcoal shadow, moody directional lighting, textured brushwork, cinematic widescreen composition, no text, no watermark, no UI elements, no borders. Decision scene of ""The Salt Writ Below Pier Nine"" - the moment the crew commits to a plan of action. Setting: Blackharbor, in the world of Nexis. Scene: Inside the box is a half-burned manifest, a sealed vial, and a route mark for a ship that has not docked in three years."
blackharbor-salt-writ,The Salt Writ Below Pier Nine,west,outcome-1,public/one-shot-images/blackharbor-salt-writ/blackharbor-salt-writ-outcome-1.png,pending,"Painted dark-fantasy illustration in a restrained gold-and-sage palette over deep charcoal shadow, moody directional lighting, textured brushwork, cinematic widescreen composition, no text, no watermark, no UI elements, no borders. Outcome illustration 1 of ""The Salt Writ Below Pier Nine"", depicting how the crew's choice resolves. Setting: Blackharbor, in the world of Nexis. Outcome: You recovered the Salt Writ manifest under Pier Nine and moved it through a legitimate broker before the dock crews closed ranks."
blackharbor-salt-writ,The Salt Writ Below Pier Nine,west,outcome-2,public/one-shot-images/blackharbor-salt-writ/blackharbor-salt-writ-outcome-2.png,pending,"Painted dark-fantasy illustration in a restrained gold-and-sage palette over deep charcoal shadow, moody directional lighting, textured brushwork, cinematic widescreen composition, no text, no watermark, no UI elements, no borders. Outcome illustration 2 of ""The Salt Writ Below Pier Nine"", depicting how the crew's choice resolves. Setting: Blackharbor, in the world of Nexis. Outcome: You erased a ghost route under Blackharbor and kept the one thing the smugglers had hidden from their own manifest."
